Close,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,RSI,Y_BUY
129.413299,129.390106,129.690002,129.910003,129.895004,129.996398,28.06086630808602,False
129.148498,129.413299,129.390106,129.690002,129.910003,129.895004,26.485360313205575,False
128.820007,129.148498,129.413299,129.390106,129.690002,129.910003,24.70119507913826,False
128.580001,128.820007,129.148498,129.413299,129.390106,129.690002,23.50163985992242,False
128.351699,128.580001,128.820007,129.148498,129.413299,129.390106,22.42725404437337,False
127.410003,128.351699,128.580001,128.820007,129.148498,129.413299,18.75894592242051,True
128.005004,127.410003,128.351699,128.580001,128.820007,129.148498,26.6230720015986,False
128.289993,128.005004,127.410003,128.351699,128.580001,128.820007,29.989303542585645,False
128.25,128.289993,128.005004,127.410003,128.351699,128.580001,29.790414363053785,False
128.119995,128.25,128.289993,128.005004,127.410003,128.351699,29.138952420214082,True
127.955001,128.119995,128.25,128.289993,128.005004,127.410003,28.32374970589622,True
127.980003,127.955001,128.119995,128.25,128.289993,128.005004,28.63748450992371,True
127.710098,127.980003,127.955001,128.119995,128.25,128.289993,27.29973059727338,True
128.229995,127.710098,127.980003,127.955001,128.119995,128.25,33.50461266217191,True
128.419998,128.229995,127.710098,127.980003,127.955001,128.119995,35.58814726002596,True
128.320007,128.419998,128.229995,127.710098,127.980003,127.955001,34.989810741028094,True
128.565002,128.320007,128.419998,128.229995,127.710098,127.980003,37.653260179305775,True
128.779998,128.565002,128.320007,128.419998,128.229995,127.710098,39.894282778865325,True
128.755004,128.779998,128.565002,128.320007,128.419998,128.229995,39.72214948405698,True
129.050003,128.755004,128.779998,128.565002,128.320007,128.419998,42.74585967429911,False
129.039794,129.050003,128.755004,128.779998,128.565002,128.320007,42.66904357643996,True
128.652999,129.039794,129.050003,128.755004,128.779998,128.565002,39.854987313985426,True
128.807601,128.652999,129.039794,129.050003,128.755004,128.779998,41.45541165546322,True
128.869995,128.807601,128.652999,129.039794,129.050003,128.755004,42.10022555001123,False
128.946792,128.869995,128.807601,128.652999,129.039794,129.050003,42.90293269045704,False
129.169998,128.946792,128.869995,128.807601,128.652999,129.039794,45.193121047443476,False
129.177795,129.169998,128.946792,128.869995,128.807601,128.652999,45.272641313665765,False
129.089996,129.177795,129.169998,128.946792,128.869995,128.807601,44.51835169158447,False
128.75,129.089996,129.177795,129.169998,128.946792,128.869995,41.72649747742619,True
128.914993,128.75,129.089996,129.177795,129.169998,128.946792,43.509353148464356,True
129.050003,128.914993,128.75,129.089996,129.177795,129.169998,44.93885585363129,False
129.11,129.050003,128.914993,128.75,129.089996,129.177795,45.57356706670295,False
128.960006,129.11,129.050003,128.914993,128.75,129.089996,44.25107408849676,False
128.869995,128.960006,129.11,129.050003,128.914993,128.75,43.46611478372369,True
129.059005,128.869995,128.960006,129.11,129.050003,128.914993,45.568708801917495,True
129.050003,129.059005,128.869995,128.960006,129.11,129.050003,45.48515527880195,True
129.005493,129.050003,129.059005,128.869995,128.960006,129.11,45.06149621240706,True
128.725006,129.005493,129.050003,129.059005,128.869995,128.960006,42.476022785200314,True
129.487594,128.725006,129.005493,129.050003,129.059005,128.869995,50.486042849980215,False
129.169998,129.487594,128.725006,129.005493,129.050003,129.059005,47.62204888114443,False
129.220993,129.169998,129.487594,128.725006,129.005493,129.050003,48.11218084345416,False
129.205001,129.220993,129.169998,129.487594,128.725006,129.005493,47.966208908385944,True
128.934997,129.205001,129.220993,129.169998,129.487594,128.725006,45.54666986078955,True
128.990097,128.934997,129.205001,129.220993,129.169998,129.487594,46.1218260227438,True
129.070007,128.990097,128.934997,129.205001,129.220993,129.169998,46.96433235139366,True
129.080093,129.070007,128.990097,128.934997,129.205001,129.220993,47.07266327476905,True
129.36,129.080093,129.070007,128.990097,128.934997,129.205001,50.011296218672925,True
129.279998,129.36,129.080093,129.070007,128.990097,128.934997,49.20159308759769,True
129.419998,129.279998,129.36,129.080093,129.070007,128.990097,50.651542170434155,True
129.440093,129.419998,129.279998,129.36,129.080093,129.070007,50.86032232007648,True
129.410003,129.440093,129.419998,129.279998,129.36,129.080093,50.528367233005405,True
130.490005,129.410003,129.440093,129.419998,129.279998,129.36,60.19785264751148,True
130.705001,130.490005,129.410003,129.440093,129.419998,129.279998,61.74159242727288,True
131.225006,130.705001,130.490005,129.410003,129.440093,129.419998,65.1335237967406,True
130.820007,131.225006,130.705001,130.490005,129.410003,129.440093,60.78111641381562,True
131.422302,130.820007,131.225006,130.705001,130.490005,129.410003,64.44525664240307,False
131.310394,131.422302,130.820007,131.225006,130.705001,130.490005,63.30562292646207,False
131.190093,131.310394,131.422302,130.820007,131.225006,130.705001,62.081738047345446,False
131.434997,131.190093,131.310394,131.422302,130.820007,131.225006,63.56868027345972,False
131.489303,131.434997,131.190093,131.310394,131.422302,130.820007,63.894268003842065,False
130.809997,131.489303,131.434997,131.190093,131.310394,131.422302,57.25639376686209,True
131.080993,130.809997,131.489303,131.434997,131.190093,131.310394,59.0177788365296,False
131.052001,131.080993,130.809997,131.489303,131.434997,131.190093,58.74918591324396,True
131.118499,131.052001,131.080993,130.809997,131.489303,131.434997,59.19095247361645,False
131.259994,131.118499,131.052001,131.080993,130.809997,131.489303,60.13305898535098,False
130.929992,131.259994,131.118499,131.052001,131.080993,130.809997,56.95303659924201,False
131.011306,130.929992,131.259994,131.118499,131.052001,131.080993,57.52698518479478,False
131.161895,131.011306,130.929992,131.259994,131.118499,131.052001,58.587422309783314,False
130.520004,131.161895,131.011306,130.929992,131.259994,131.118499,52.76407771518521,False
130.619995,130.520004,131.161895,131.011306,130.929992,131.259994,53.51055458845116,False
130.256103,130.619995,130.520004,131.161895,131.011306,130.929992,50.4987260544929,True
130.339904,130.256103,130.619995,130.520004,131.161895,131.011306,51.15529336685636,True
130.130004,130.339904,130.256103,130.619995,130.520004,131.161895,49.451564727136656,True
